ObjectID;ProviderID;GoogleID;State;ActiveTime;Rank;TypeID;Name;Address;Phone;Lat;Lng
100;83;ChIJb5IWaqVC0EARsjWO1OAo4vI;0;;0;0;АРКАДА, КАФЕ;Пашутіна вул. 69А, Кропивницький;;48.507933;32.262317
100;84;ChIJid9PzOFD0EARlrMcgeuyaBM;0;;0;0;Хорошофудотindia;Кропивницький;;48.50759;32.26147
100;85;ChIJj3-APqVC0EARD4JylX0uLUI;0;;0;0;Vis-a-vis;Подильский Кропивни?цкий, Кировоградская, Кропивницький;;48.507582;32.26144
100;86;ChIJ9fQkwqVC0EARbvd3UwWlSOU;0;;0;0;Muray, Tts;Преображенська вулиця, 4, Кропивницький;;48.507309;32.26293
100;87;ChIJt464d6VC0EAREVopB_IAYBY;0;;0;0;Fresh Point;25000, вулиця Велика Перспективна, 46/91, Кропивницький;;48.507662;32.26411
100;88;ChIJx8shVllD0EARVkwGJXleCcE;0;;0;0;Кафе-бар Сириус;пгт, вулиця Велика Перспективна, 50 Б, Знам'янка Друга;;48.506696;32.263265
100;89;ChIJh4yq9aVC0EARWFIFfva9Vs8;0;;0;0;Gogol espresso bar;вулиця Гоголя, 91/46, Кропивницький;;48.508435;32.264844
100;90;ChIJcTO6trZD0EARF2cAaYmSHNQ;0;;0;0;Восточный уголок в Кропивницком;Кропивницький;;48.509241;32.259498
100;91;ChIJ8YcF3sND0EAR-QQ6Aphn1tQ;0;;0;0;Кофейня ФРАНЦ.УА;вулиця Гоголя, 91, Кропивницький;;48.507814;32.265779
100;92;ChIJ79r-UKRC0EAR7SJ5f2LUDBk;0;;0;0;Суши BOX;64, вулиця Велика Перспективна, Кропивницький;;48.505632;32.262571
100;93;ChIJJUpfRwpD0EARSh2bIPAsgG8;0;;0;0;Coffee Mobile;вулиця Набережна, Кропивницький;;48.505426;32.262368
100;94;ChIJbVCFxqVC0EARySKtWVihMzw;0;;0;0;кафе Виктория;Преображенська вулиця, 15, Кропивницький;;48.506207;32.265373
100;95;ChIJZVTEZq9C0EAR-PtJUJ6begI;0;;0;0;Coffee Life;Центральна вулиця, 3, Кропивницький;;48.508045;32.266778
100;96;ChIJs7-RjOFD0EARp_pz3OJUNHY;0;;0;0;TEAHOUSE;;;48.509711;32.26596
100;97;ChIJJ9vy8KVC0EARXIHIUSRrzBc;0;;0;0;Восток;Пашутинська вулиця, 48/82, Кропивницький;;48.507082;32.267007
100;98;ChIJldYgmrpC0EARwZAM6LUYn90;0;;0;0;Старий круг;вулиця Шульгиних, 32, Кропивницький;;48.50974;32.258021
100;99;ChIJkUyS1KVC0EARtSIWo401RyA;0;;0;0;Джи-джи;Пашутинська вулиця, 73/1, Кропивницький;;48.505325;32.26566
